algo,feat_set,pa_method,bin_midpoint,mean_pred,mean_obs,n_pts
XGB,M_SP,two_step,0.25,0.2476,0.0078,385
XGB,M_SP,two_step,0.35,0.3595,0.0462,260
XGB,M_SP,two_step,0.45,0.453,0.0235,340
XGB,M_SP,two_step,0.55,0.5434,0.0075,268
XGB,M_SP,two_step,0.65,0.6592,0.0,192
XGB,M_SP,two_step,0.75,0.7524,0.0556,216
XGB,M_SP,two_step,0.85,0.8471,0.0406,812
XGB,M_SP,two_step,0.95,0.9628,0.1042,1084
XGB,M_SP,uncertainty_zone,0.05,0.0182,0.0037,3509
XGB,M_SP,uncertainty_zone,0.15,0.1431,0.0438,297
XGB,M_SP,uncertainty_zone,0.25,0.2505,0.0189,371
XGB,M_SP,uncertainty_zone,0.35,0.3427,0.0811,148
XGB,M_SP,uncertainty_zone,0.45,0.4609,0.0286,210
XGB,M_SP,uncertainty_zone,0.55,0.5554,0.0388,258
XGB,M_SP,uncertainty_zone,0.65,0.6335,0.0395,329
XGB,M_SP,uncertainty_zone,0.75,0.7326,0.0587,579
XGB,M_SP,uncertainty_zone,0.85,0.844,0.1009,317
XGB,M_SP,uncertainty_zone,0.95,0.9511,0.303,165
