algo,feat_set,pa_method,auc_roc,pr_auc,brier,cal_slope,cal_int,boyce_csi,n_pres,n_bg,tss,tss_thr,sensitivity,specificity,bal_acc,thr_source,auc_roc_ci_lo,auc_roc_ci_hi,pr_auc_ci_lo,pr_auc_ci_hi,brier_ci_lo,brier_ci_hi
RF,M_SP,random,0.8224,0.1575,0.1583,0.8838,-3.2738,0.9774,190,5993,0.4639,0.4783,0.7211,0.7429,0.732,inner_oof,0.7392,0.8957,0.0913,0.3798,0.0979,0.2263
RF,M_SP,spatial_constrained,0.792,0.0996,0.2123,0.6339,-3.412,0.9444,190,5993,0.4254,0.5244,0.7737,0.6518,0.7127,inner_oof,0.6896,0.887,0.0599,0.3007,0.1284,0.3032
RF,M_SP,two_step,0.8403,0.1706,0.2543,0.7472,-3.9542,0.9639,190,5993,0.5105,0.6157,0.7895,0.721,0.7552,inner_oof,0.7613,0.907,0.0954,0.3455,0.1814,0.3318
RF,M_SP,uncertainty_zone,0.8108,0.232,0.1381,1.0943,-3.0952,0.9624,190,5993,0.4099,0.5123,0.5684,0.8415,0.705,inner_oof,0.7023,0.8948,0.1516,0.3878,0.0831,0.2108
XGB,M_S,random,0.8162,0.1837,0.2032,0.5829,-3.5089,0.6226,190,5993,0.5335,0.5837,0.7789,0.7545,0.7667,inner_oof,0.7247,0.894,0.113,0.3303,0.1121,0.3093
XGB,M_S,spatial_constrained,0.7263,0.0731,0.2698,0.2752,-3.4749,0.7383,190,5993,0.3899,0.5845,0.7053,0.6846,0.6949,inner_oof,0.5952,0.8417,0.0432,0.2238,0.1399,0.4118
XGB,M_S,two_step,0.7846,0.1372,0.347,0.4195,-4.0284,0.4727,190,5993,0.5036,0.7493,0.8579,0.6458,0.7518,inner_oof,0.6812,0.8718,0.0851,0.2932,0.2176,0.4863
XGB,M_S,uncertainty_zone,0.8041,0.2198,0.1506,0.5173,-3.1877,0.7925,190,5993,0.4685,0.5621,0.6368,0.8316,0.7342,inner_oof,0.7149,0.8821,0.1332,0.3835,0.086,0.2326
XGB,M_SA,random,0.841,0.2269,0.2493,0.695,-3.9188,0.812,190,5993,0.5241,0.6734,0.7737,0.7504,0.762,inner_oof,0.7584,0.9097,0.1381,0.3976,0.1574,0.3497
XGB,M_SA,spatial_constrained,0.7709,0.1055,0.2248,0.3822,-3.4025,0.8782,190,5993,0.4075,0.5555,0.7105,0.697,0.7038,inner_oof,0.6586,0.86,0.0592,0.2773,0.1309,0.3397
XGB,M_SA,two_step,0.8166,0.1711,0.3514,0.4772,-4.1474,0.8135,190,5993,0.4655,0.7587,0.8158,0.6498,0.7328,inner_oof,0.7256,0.8893,0.1016,0.3413,0.2279,0.4875
XGB,M_SA,uncertainty_zone,0.8337,0.1868,0.1535,0.5148,-3.2328,0.8917,190,5993,0.5262,0.5997,0.7053,0.821,0.7631,inner_oof,0.7485,0.8995,0.101,0.3666,0.0828,0.2467
XGB,M_SAP,random,0.8485,0.2135,0.1903,0.5661,-3.5585,0.9068,190,5993,0.5391,0.5512,0.7632,0.7759,0.7695,inner_oof,0.7883,0.8978,0.1312,0.3445,0.1402,0.2452
XGB,M_SAP,spatial_constrained,0.8269,0.1468,0.1892,0.4855,-3.4233,0.9023,190,5993,0.5399,0.6078,0.7421,0.7978,0.7699,inner_oof,0.7452,0.8943,0.0825,0.2585,0.1196,0.2738
XGB,M_SAP,two_step,0.8428,0.198,0.2612,0.4717,-3.9132,0.8496,190,5993,0.5624,0.6725,0.8316,0.7309,0.7812,inner_oof,0.7733,0.8999,0.1233,0.3523,0.1952,0.3319
XGB,M_SAP,uncertainty_zone,0.8163,0.1236,0.1858,0.3608,-3.2855,0.8902,190,5993,,,,,,not_computed,0.6965,0.9149,0.0615,0.3793,0.0815,0.31
XGB,M_SP,random,0.8436,0.2124,0.1787,0.5198,-3.4773,0.9293,190,5993,0.5279,0.5385,0.7526,0.7752,0.7639,inner_oof,0.7823,0.8972,0.1373,0.3362,0.1265,0.2349
XGB,M_SP,spatial_constrained,0.8139,0.151,0.1891,0.4821,-3.4271,0.8932,190,5993,0.496,0.6271,0.6842,0.8118,0.748,inner_oof,0.7277,0.8845,0.0911,0.277,0.1233,0.2719
XGB,M_SP,two_step,0.8181,0.1498,0.3066,0.4761,-3.974,0.6707,190,5993,0.4878,0.6618,0.8316,0.6563,0.7439,inner_oof,0.7447,0.8806,0.0903,0.3338,0.2152,0.4008
XGB,M_SP,uncertainty_zone,0.8485,0.2487,0.1508,0.6078,-3.119,0.7459,190,5993,,,,,,not_computed,0.7572,0.9182,0.16,0.3674,0.0804,0.2374
