algo,feat_set,pa_method,rep,fold,k_effective,auc_roc,pr_auc,tss,tss_thr,thr_source,sensitivity,specificity,brier,cal_slope,cal_int,n_pres,n_bg,n_feat_vif,selected,pa_ratio,n_pa_actual,n_pres_tr,n_pres_dropped,n_eval_bg,inner_threshold,hp_str
XGB,M_S,random,4,1,3,0.6345192307692308,0.13476176739293608,-0.012500000002468759,0.9812,inner_oof,0.0,0.9875,0.09545271843671799,0.5687,-3.1004,13,400,5,"bio04,bio07,bio10,bio15,bio17",1:3,75,25,0,400,0.9812,"{""subsample"": 0.9, ""n_estimators"": 300, ""min_child_weight"": 1, ""max_depth"": 5, ""learning_rate"": 0.05, ""colsample_bytree"": 0.8}"
XGB,M_S,spatial_constrained,4,1,3,0.7083653846153846,0.19829772571230375,0.21576923074901688,0.6252,inner_oof,0.2308,0.985,0.05989866331219673,0.7424,-2.4269,13,400,5,"bio04,bio07,bio10,bio15,bio17",1:5,125,25,0,400,0.6252,"{""subsample"": 0.9, ""n_estimators"": 100, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.05, ""colsample_bytree"": 0.6}"
XGB,M_S,two_step,4,1,3,0.7711538461538461,0.2240917790871324,0.4784615384177684,0.4742,inner_oof,0.5385,0.94,0.07247262448072433,0.6916,-2.8416,13,400,5,"bio04,bio07,bio10,bio15,bio17",1:5,125,25,0,400,0.4742,"{""subsample"": 0.9, ""n_estimators"": 100, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.05, ""colsample_bytree"": 0.6}"
XGB,M_S,uncertainty_zone,4,1,3,0.7725961538461538,0.3140548795038055,0.2951923076661702,0.6733,inner_oof,0.3077,0.9875,0.08418390154838562,1.41,-2.3773,13,400,5,"bio04,bio07,bio10,bio15,bio17",1:1,25,25,0,400,0.6733,"{""subsample"": 0.9, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 5, ""learning_rate"": 0.05, ""colsample_bytree"": 0.6}"
XGB,M_SA,random,4,1,3,0.7176923076923077,0.07240187735857807,0.3736538460874388,0.5786,inner_oof,0.8462,0.5275,0.4107358753681183,1.3297,-4.6893,13,400,6,"bio07,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order",1:3,75,25,0,400,0.5786,"{""subsample"": 0.7, ""n_estimators"": 300, ""min_child_weight"": 5, ""max_depth"": 7, ""learning_rate"": 0.05, ""colsample_bytree"": 0.8}"
XGB,M_SA,spatial_constrained,4,1,3,0.6419230769230768,0.13223303572736086,-0.005000000002487459,0.8058,inner_oof,0.0,0.995,0.20706051588058472,0.5337,-3.2567,13,400,6,"bio07,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order",1:1,25,25,0,400,0.8058,"{""subsample"": 0.9, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 5, ""learning_rate"": 0.05, ""colsample_bytree"": 0.6}"
XGB,M_SA,two_step,4,1,3,0.8192307692307693,0.2490432161780663,0.4859615384177496,0.9044,inner_oof,0.5385,0.9475,0.20692645013332367,0.8127,-3.7561,13,400,6,"bio07,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order",1:3,75,25,0,400,0.9044,"{""subsample"": 0.9, ""n_estimators"": 300, ""min_child_weight"": 1, ""max_depth"": 5, ""learning_rate"": 0.05, ""colsample_bytree"": 0.8}"
XGB,M_SA,uncertainty_zone,4,1,3,0.8073076923076923,0.2404601078621697,0.14134615383185078,0.9522,inner_oof,0.1538,0.9875,0.21182435750961304,0.9561,-3.6748,13,400,6,"bio07,bio10,bio15,bio17,A1_dist_waterway,A2_waterway_order",1:10,250,25,0,400,0.9522,"{""subsample"": 0.9, ""n_estimators"": 100, ""min_child_weight"": 5, ""max_depth"": 3, ""learning_rate"": 0.2, ""colsample_bytree"": 0.8}"
XGB,M_SP,random,4,1,3,0.7909615384615384,0.09568162090306037,0.21903846150106476,0.746,inner_oof,0.4615,0.7575,0.24044285714626312,0.4105,-3.518,13,400,8,"bio07,bio10,bio15,bio17,P1_pop_density,P2_dist_road,P3_road_density,P4_dist_urban",1:1,25,25,0,400,0.746,"{""subsample"": 0.9, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 5, ""learning_rate"": 0.05, ""colsample_bytree"": 0.6}"
XGB,M_SP,spatial_constrained,4,1,3,0.8060576923076923,0.11683235366663251,0.18211538458380505,0.7492,inner_oof,0.3846,0.7975,0.1910129189491272,0.355,-3.2386,13,400,8,"bio07,bio10,bio15,bio17,P1_pop_density,P2_dist_road,P3_road_density,P4_dist_urban",1:1,25,25,0,400,0.7492,"{""subsample"": 0.9, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 5, ""learning_rate"": 0.05, ""colsample_bytree"": 0.6}"
