contrast,independent_analysis_unit,n_partitions,mean_auc_difference,ci_lo,ci_hi,exact_sign_flip_p
M_SA - M_S,complete outer spatial partition,15,0.03499883851482139,0.013423278628332992,0.05775385108115315,0.007354511886233941
M_SP - M_S,complete outer spatial partition,15,0.05641441131934933,0.027403844412298078,0.087202656583018,0.002715981567945314
M_SAP - M_S,complete outer spatial partition,15,0.05420068241501928,0.02124018339436402,0.0868262212754997,0.007354511886233941
