rep,fold,M_S,M_SA,M_SAP,M_SP
1,1,0.7021073717948717,0.7519150641025641,0.8114663461538462,0.7777243589743589
1,2,0.9155048076923077,0.9234054487179487,0.9289663461538461,0.9204326923076923
1,3,0.8254600694444445,0.8417881944444444,0.9605555555555556,0.9622829861111111
2,1,0.7348237179487179,0.771025641025641,0.8219871794871795,0.8229407051282052
2,2,0.9651682692307691,0.9647756410256411,0.9349358974358974,0.9485657051282051
2,3,0.8548524305555555,0.8770572916666666,0.8704079861111111,0.9357899305555555
3,1,0.5994471153846154,0.7182211538461538,0.6601522435897436,0.6460576923076923
3,2,0.9800881410256409,0.9379326923076924,0.9348717948717948,0.9375641025641026
3,3,0.8986545138888888,0.9061718750000001,0.9099565972222222,0.9552256944444445
4,1,0.7173878205128205,0.7826602564102565,0.7828125,0.7788461538461539
4,2,0.8446955128205128,0.8468910256410257,0.8314342948717949,0.8379166666666666
4,3,0.759314236111111,0.8873958333333333,0.9358680555555555,0.9546961805555556
5,1,0.5249599358974358,0.5976282051282051,0.6812580128205128,0.6331971153846153
5,2,0.8014370065896784,0.8412686761923404,0.8262053891824884,0.8220542180465844
5,3,0.7482812499999999,0.7490277777777777,0.7943142361111111,0.7851041666666667
