occ_id,suit_oof,longitude,latitude,residual
0,0.5014736905663195,99.969178,12.176065,0.4985263094336805
1,0.5719198471108535,99.955173,13.367991,0.42808015288914647
2,0.7078930451514871,100.3506,13.5168,0.2921069548485129
3,0.5014736905663195,99.977011,12.207494,0.4985263094336805
4,0.6218079528400113,100.605019,13.545774,0.37819204715998866
5,0.5250902225736456,100.998355,13.450298,0.47490977742635443
6,0.6269505181697477,99.228632,10.383637,0.3730494818302523
7,0.3877511956482918,100.383358,7.716171,0.6122488043517083
8,0.531557225155567,99.93448,12.262717,0.468442774844433
9,0.4941758981391723,101.70375,12.707738,0.5058241018608277
10,0.5977477338451024,100.45885,13.716783,0.4022522661548976
11,0.8374903394421196,100.44197,13.576555,0.1625096605578804
12,0.43060628231218845,100.077453,13.050243,0.5693937176878116
13,0.43060628231218845,100.07476,13.057011,0.5693937176878116
14,0.6570466927727976,99.975255,12.40524,0.3429533072272024
15,0.5383433084622385,99.977,12.256278,0.46165669153776145
16,0.5062800576218673,99.959105,12.666975,0.49371994237813266
17,0.41402518998683185,101.652522,12.780647,0.5859748100131681
18,0.6479280757254442,100.43957,13.618778,0.3520719242745558
19,0.5382144951931622,99.931596,13.448027,0.4617855048068378
20,0.6047578395567899,100.418999,13.52562,0.39524216044321014
21,0.3713451773095108,100.088304,13.053122,0.6286548226904892
22,0.592518502568255,100.140513,13.606914,0.407481497431745
23,0.2640621908589552,101.881756,12.595186,0.7359378091410448
24,0.5719198471108535,99.929016,13.338796,0.42808015288914647
25,0.3717865192563901,99.278822,10.39572,0.6282134807436099
26,0.3633024438972047,99.953743,12.128617,0.6366975561027953
27,0.6028225201698887,100.4452756047,13.698279694,0.3971774798301113
28,0.40356313870729893,100.0063056785,12.2010724755,0.5964368612927011
29,0.5977477338451024,100.4672698972,13.7251758575,0.4022522661548976
30,0.4503307276392339,99.9638184995,12.7054240612,0.5496692723607661
31,0.5040687327337675,99.7997433997,11.8036691,0.4959312672662325
32,0.37067935400115787,99.8654333333,13.2437333333,0.6293206459988421
33,0.29681848587141857,99.1404918954,10.0986001433,0.7031815141285814
34,0.6291736202470217,100.908745,12.827305,0.3708263797529783
35,0.405473458833615,101.6563749722,12.71822,0.5945265411663849
36,0.640555803682525,100.3478,13.6455,0.35944419631747504
37,0.39201953339559586,100.2076,7.7913,0.6079804666044042
