presence_subset,unique_occurrences,repeated_presence_rows,background_rows,auc,pr_auc,constructed_prevalence
All presences,38,190,5993,0.8519970667533174,0.21845287817704684,0.030729419375707584
Citizen science,36,180,5993,0.8539703728423903,0.21011776675692465,0.029159241859711648
Literature,2,10,5993,0.8164775571500084,0.022649336219800566,0.0016658337497917708
