group,mean_grouped_auc_decrease,ci_lo,ci_hi,mean_selected_features,n_outer_models
S_environment,0.20185839980100476,0.1261399198717949,0.28043706048660044,5.333333333333333,15
P_human_activity,0.051140138888888916,0.022786787259615412,0.08185833707264961,2.6,15
A_waterway_context,0.014366137820512848,-0.0012876477029914327,0.031613983039529954,1.7333333333333334,15
