gbif_id,species,species_queried,latitude,longitude,coord_uncertainty_m,year,month,day,country_code,country,state_province,locality,basis_of_record,institution_code,dataset_name,region,source,inat_id,occ_id,source_group
4908258682,Sarotherodon melanotheron,Sarotherodon melanotheron,13.338796,99.929016,1496.0,2022.0,11.0,24.0,TH,Thailand,Samut Songkhram,,HUMAN_OBSERVATION,iNaturalist,iNaturalist research-grade observations,Thailand,GBIF,,24,Citizen science
3399051613,Sarotherodon melanotheron,Sarotherodon melanotheron,10.39572,99.278822,31.0,2021.0,10.0,16.0,TH,Thailand,Chumphon,,HUMAN_OBSERVATION,iNaturalist,iNaturalist research-grade observations,Thailand,GBIF,,25,Citizen science
3764558403,Sarotherodon melanotheron,Sarotherodon melanotheron,12.128617,99.953743,208.0,2019.0,3.0,24.0,TH,Thailand,Prachuap Khiri Khan,,HUMAN_OBSERVATION,iNaturalist,iNaturalist research-grade observations,Thailand,GBIF,,26,Citizen science
253148836,Sarotherodon melanotheron,Sarotherodon melanotheron,13.698279694,100.4452756047,2552.0,2024.0,8.0,17.0,MCXW+846 แขวงบางขุนเทียน เขตจอมทอง กรุงเทพมหานคร 10150 ประเทศไทย,Thailand,MCXW+846 แขวงบางขุนเทียน เขตจอมทอง กรุงเทพมหานคร 10150 ประเทศไทย,MCXW+846 แขวงบางขุนเทียน เขตจอมทอง กรุงเทพมหานคร 10150 ประเทศไทย,HUMAN_OBSERVATION,iNaturalist,iNaturalist,Thailand,iNaturalist,253148836.0,27,Citizen science
247946292,Sarotherodon melanotheron,Sarotherodon melanotheron,12.2010724755,100.0063056785,8.0,2024.0,1.0,18.0,"Sam Roi Yot, Sam Roi Yot District, Prachuap Khiri Khan, Thailand",Thailand,"Sam Roi Yot, Sam Roi Yot District, Prachuap Khiri Khan, Thailand","Sam Roi Yot, Sam Roi Yot District, Prachuap Khiri Khan, Thailand",HUMAN_OBSERVATION,iNaturalist,iNaturalist,Thailand,iNaturalist,247946292.0,28,Citizen science
245009988,Sarotherodon melanotheron,Sarotherodon melanotheron,13.7251758575,100.4672698972,,2024.0,10.0,1.0,"Pak Khlong Phasi Charoen, Phasi Charoen, Bangkok, Thailand",Thailand,"Pak Khlong Phasi Charoen, Phasi Charoen, Bangkok, Thailand","Pak Khlong Phasi Charoen, Phasi Charoen, Bangkok, Thailand",HUMAN_OBSERVATION,iNaturalist,iNaturalist,Thailand,iNaturalist,245009988.0,29,Citizen science
240108790,Sarotherodon melanotheron,Sarotherodon melanotheron,12.7054240612,99.9638184995,136.0,2024.0,9.0,5.0,"Rama Hok (3) Bridge, Cha-am, Phetchaburi, TH",Thailand,"Rama Hok (3) Bridge, Cha-am, Phetchaburi, TH","Rama Hok (3) Bridge, Cha-am, Phetchaburi, TH",HUMAN_OBSERVATION,iNaturalist,iNaturalist,Thailand,iNaturalist,240108790.0,30,Citizen science
197205355,Sarotherodon melanotheron,Sarotherodon melanotheron,11.8036691,99.7997433997,,2024.0,1.0,21.0,"Prachuap Khiri Khan, Mueang Prachuap Khiri Khan District, Prachuap Khiri Khan, Thailand",Thailand,"Prachuap Khiri Khan, Mueang Prachuap Khiri Khan District, Prachuap Khiri Khan, Thailand","Prachuap Khiri Khan, Mueang Prachuap Khiri Khan District, Prachuap Khiri Khan, Thailand",HUMAN_OBSERVATION,iNaturalist,iNaturalist,Thailand,iNaturalist,197205355.0,31,Citizen science
196177588,Sarotherodon melanotheron,Sarotherodon melanotheron,13.2437333333,99.8654333333,310.0,2024.0,1.0,9.0,"Ro Pho Cho Phetchaburi 3005 Rd., Khao Yoi, Phetchaburi, TH",Thailand,"Ro Pho Cho Phetchaburi 3005 Rd., Khao Yoi, Phetchaburi, TH","Ro Pho Cho Phetchaburi 3005 Rd., Khao Yoi, Phetchaburi, TH",HUMAN_OBSERVATION,iNaturalist,iNaturalist,Thailand,iNaturalist,196177588.0,32,Citizen science
157965100,Sarotherodon melanotheron,Sarotherodon melanotheron,10.0986001433,99.1404918954,,2023.0,4.0,30.0,"Location: 10.098600, 99.140492",Thailand,"Location: 10.098600, 99.140492","Location: 10.098600, 99.140492",HUMAN_OBSERVATION,iNaturalist,iNaturalist,Thailand,iNaturalist,157965100.0,33,Citizen science
145320053,Sarotherodon melanotheron,Sarotherodon melanotheron,12.827305,100.908745,3.0,2022.0,12.0,28.0,"Gulf of Thailand, Chonburi, TH",Thailand,"Gulf of Thailand, Chonburi, TH","Gulf of Thailand, Chonburi, TH",HUMAN_OBSERVATION,iNaturalist,iNaturalist,Thailand,iNaturalist,145320053.0,34,Citizen science
133426358,Sarotherodon melanotheron,Sarotherodon melanotheron,12.71822,101.6563749722,,2022.0,9.0,3.0,ตำบล เนินฆ้อ อำเภอแกลง ระยอง 21110 ประเทศไทย,Thailand,ตำบล เนินฆ้อ อำเภอแกลง ระยอง 21110 ประเทศไทย,ตำบล เนินฆ้อ อำเภอแกลง ระยอง 21110 ประเทศไทย,HUMAN_OBSERVATION,iNaturalist,iNaturalist,Thailand,iNaturalist,133426358.0,35,Citizen science
LIT003,Sarotherodon melanotheron,Sarotherodon melanotheron,13.6455,100.3478,2000.0,2024.0,,,TH,Thailand,Samut Sakhon,Khlong Phasi Charoen,LITERATURE,Literature,ปลาหมอคางดำกว่า 10 ตัน ซุกคลองภาษีเจริญ,Thailand,Literature,,36,Literature
LIT006,Sarotherodon melanotheron,Sarotherodon melanotheron,7.7913,100.2076,2000.0,2024.0,,,TH,Thailand,Songkhla,Khlong Phang Yang,LITERATURE,Literature,ประมงสงขลาชวนนักล่าร่วมแข่งจับปลาหมอคางดำ คลองพังยาง,Thailand,Literature,,37,Literature
